location;start_date;end_date;day;plotid;municipality;U_landscape;U_local;urb_cat;phylum;class;order;suborder;length;width;area;biomass_indiv;n_indiv;sizeclass;ord_sub;func_species
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;ARACHNIDA;ARANEAE;ord;1,5;1,3;1,95;0,100006041;1;SC04;ARA_ord;SC04_ARA_ord
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;ARACHNIDA;ARANEAE;ord;1,5;1,3;1,95;0,100006041;1;SC04;ARA_ord;SC04_ARA_ord
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;ARACHNIDA;ARANEAE;ord;2;0,9;1,8;0,191596593;1;SC05;ARA_ord;SC05_ARA_ord
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;ARACHNIDA;ARANEAE;ord;0,8;0,4;0,32;0,02415702;1;SC02;ARA_ord;SC02_ARA_ord
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;COLEOPTERA;POLYPHAGA;1,1;0,5;0,55;0,049614368;1;SC03;COL_POL;SC03_COL_POL
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;COLEOPTERA;POLYPHAGA;0,8;0,5;0,4;0,02415702;1;SC02;COL_POL;SC02_COL_POL
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;COLEOPTERA;POLYPHAGA;2,6;0,7;1,82;0,346656827;1;SC06;COL_POL;SC06_COL_POL
P01SY;07/09/2021;14/09/2021;249;P01;Gent;HIGH;MEDIUM;HIGHMEDIUM;ARTHROPODA;INSECTA;COLEOPTERA;POLYPHAGA;1,8;0,9;1,62;0,150999619;1;SC04;COL_POL;SC04_COL_POL
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;0,5;0,1;0,05;0,008350879;1;SC02;DIP_BRA;SC02_DIP_BRA
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;7,4;3,5;25,9;3,685731361;1;SC15;DIP_BRA;SC15_DIP_BRA
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;7,5;3,1;23,25;3,799255025;1;SC16;DIP_BRA;SC16_DIP_BRA
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;7,5;2,7;20,25;3,799255025;1;SC16;DIP_BRA;SC16_DIP_BRA
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;6,4;2,7;17,28;2,654768968;1;SC13;DIP_BRA;SC13_DIP_BRA
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;2;0,9;1,8;0,191596593;1;SC05;DIP_BRA;SC05_DIP_BRA
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;8,5;3,8;32,3;5,041348998;1;SC18;DIP_BRA;SC18_DIP_BRA
P01SG;07/09/2021;14/09/2021;249;P01;Gent;HIGH;LOW;HIGHLOW;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;1,4;0,5;0,7;0,0855676;1;SC03;DIP_BRA;SC03_DIP_BRA
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;2,5;0,7;1,75;0,317252031;1;SC06;DIP_BRA;SC06_DIP_BRA
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;5,1;0,9;4,59;1,589163528;1;SC11;DIP_BRA;SC11_DIP_BRA
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;2,3;0,9;2,07;0,262763417;1;SC05;DIP_BRA;SC05_DIP_BRA
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;3,2;0,9;2,88;0,554241374;1;SC07;DIP_BRA;SC07_DIP_BRA
P01SR;07/09/2021;14/09/2021;249;P01;Gent;HIGH;HIGH;HIGHHIGH;ARTHROPODA;INSECTA;DIPTERA;BRACHYCERA;3,3;1,1;3,63;0,594157379;1;SC07;DIP_BRA;SC07_DIP_BRA
